word	meaning
charity	n.慈善團體
chatterbox	n.喋喋不休的人
checkbook	n.支票簿
check-in	n.登記手續
check-out	n.檢查；付款退租
checkup	n.檢查
cheerleader	n.啦啦隊隊長
cheers	interj.乾杯
chef	n.主廚
chemist	n.化學家
chessboard	n.西洋棋棋盤
childbirth	n.分娩
childcare	n.照料小孩
childlike	adj.天真無邪的
chill	v./adj.(使)變冷；寒冷的
chimpanzee	n.黑猩猩
chlorine	n.氯(氣)
choir	n.合唱隊
cholesterol	n.膽固醇
Christianity	n.基督教
chronic	adj.慢性的
chunk	n.厚塊
churchyard	n.教堂的庭院(墓地)
cigar	n.雪茄
citizenship	n.公民身分(權利)
civics	n.公民科
civilian	n.平民；文職人員
civilize	v.使開化
classification	n.分類
classmate	n.同班同學
classroom	n.教室
clause	n.子句；條款
cleaner	n.清潔工(劑)
cleaning	n.掃除
cleanse	v.使清潔
clergyman	n.神職人員；牧師
click	v.使發出聲
clinic	n.診所
clip	v.修剪；夾住
clockwise	adj.順時針方向的
clockwork	n.發條裝置
closure	n.關閉
cluster	n.群
clutch	n.離合器；緊握
coalition	n.聯合
coastguard	n.海岸巡邏隊
coastline	n.海岸線
cocaine	n.古柯鹼
cock	n.公雞
cockpit	n.駕駛艙；鬥雞場
coed	adj.男女合校的
coeducation	n.男女合校的教育
coexist	v.同時共存
coffin	n.棺材
coincidence	n.巧合
cola	n.可樂類飲料
collaborate	v.合作
colleague	n.同事
collector	n.收藏者
collision	n.衝突
colonial	adj.殖民地的
color-blind	adj.色盲的
columnist	n.專欄作家
comedian	n.丑角式人物
comet	n.彗星
comfortably	adv.舒適地
comforting	adj.舒適的
comic	adj.滑稽的
coming	n.到來
commemorate	v.為慶祝
commend	v.稱讚
commentary	n.評述
commentator	n.評論家
commodity	n.商品
commonplace	adj.平凡的
communal	adj.公共的
communicative	adj.愛說話的
communist	n./adj./n.共產主義的；共產主義者
commute	v.通勤
commuter	n.通勤者
compact	adj.緊密的
companionship	n.交誼
comparative	adj.相比而言的
comparatively	adv.比較地
compartment	n.分隔間
compass	n.指南針；圓規
compassionate	adj.有同情心的
compatible	adj.相容的
compatibly	adv.和諧地
compensate	v.賠償
compensation	n.補償
competence	n.能力
compile	v.編纂
complement	n.補足物
complexion	n.氣色
complexity	n.錯綜複雜的事物
complication	n.糾葛
comply	v.依從
composite	adj.混合成的
comprehend	v.理解
comprehensible	adj.可以理解的
comprehension	n.理解(力)
comprehensive	adj.廣泛的
compress	v.壓縮
compromise	v.妥協(方案)
compulsively	adv.強制性地
computerize	v.使電腦化
comrade	n.同伴
conceal	v.隱藏
concede	v.讓與
conceive	v.認為；構想
conceited	adj.自大的
conceitedly	adv.自負地
concession	n.讓步
concise	adj.簡潔的
condense	v.使凝結(濃縮)
condom	n.保險套
confederation	n.同盟
confer	v.商議；授予
confession	n.承認
confide	v.吐露
confidently	adv.確信地
confidential	adj.機密的
confirm	v.詮實
conform	v.遵從
conformity	n.遵從
Confucius	n.孔子
confused	adj.困惑的
congressional	adj.國會的
conjunction	n.結合
conquest	n.征服
conscientious	adj.盡責的
consecutive	adj.連續的
consensus	n.多數人的意見
conservation	n.保護
consolation	n.慰藉
console	v.安慰
consolidate	v.鞏固
conspiracy	n.陰謀
constable	n.警察
constitutional	adj.憲法的
constraint	n.限制
consultation	n.協商會
consumption	n.消費
contagious	adj.傳染性的
contaminate	v.污染物
contemplate	v.深思
contempt	v.輕視
contemptible	adj.卑劣的
contented	adj.滿足的
contingent	adj.因情況而變的
continuation	n.繼績
contractor	n.立約人
contradict	v.否認
contradiction	n.矛盾
controller	n.控制者
controversial	adj.有爭議的
convene	v.召集
convertible	adj.可轉換的
convict	v./n.證明有罪；囚犯
convincing	adj.令人信服的
convoy	n.護送(車隊)
coordination	n.協調
cop	n.警察
copilot	n.飛機副駕駛
copyright	n.版權
corporation	n.公司
correlation	n.關聯
correspondent	n./adj.通訊(記)者；一致的
corrupt	adj./v.腐敗的；敗壞
corruption	n.道德敗壞
cosmetic	n./adj.化妝品；美容的
cosmic	adj.宇宙的
cosmopolitan	adj.世界性的
cosmos	n.宇宙
cosy	adj.(=cozy)溫暖舒適的
councilman	n.議員
counsel	n.忠告
counseling	n.勸告
counsellor	n.顧問
countable	adj.可數的
countenance	n.表情；支持
counteract	v. 抵消
counterattack	n./v.反擊
counterpart	n.互相對應的人(物)
countless	adj.無數的
coupon	n.優待券
courteous	adj.有禮貌的
courtesy	n.有禮的舉止
courtyard	n.庭院
coverage	n.報導；某事所包含的範圍
cowardice	n.膽小
coworker	n.同事
crab	n.蟹
crackdown	n.取締
cram	v.填塞
crane	n.起重機；鶴
creativity	n.創造力
creator	n.創作者
credibility	n.可信性
credible	adj.可信的
creditable	adj.值得稱讚的
creed	n.信條
cripple	n.肢體殘障者
crocodile	n.鱷魚
crossing	n.交叉口
crossroad	n.十字路口
crouch	v.蹲伏
crow	n.烏鴉；雞啼聲
crude	adj.未加工製造的
cruise	n.乘船遊覽
crumble	v.(使)碎成細屑
cub	n.幼獸
cube	n.立方體
cubic	adj.立方的
cucumber	n.黃瓜
cue	n.反芻的食物
culminate	v.達到頂點
cult	n.狂熱的崇拜
cumulative	adj.累積的
curb	n.抑制
curfew	n.宵禁
currency	n.貨幣；流通
curriculum	n.課程
curry	n.咖哩食品
custody	n.監管
customary	adj.習慣上的
cylinder	n.氣缸
damages	n.損害賠償
dame	n.貴夫人
damp	adj.潮溼的
daresay	v.我想…；也許…
darken	v.使變黑
darkroom	n.暗房
dart	n.鏢；急衝
dash	v.猛衝
data	n.資料
daybreak	n.黎明
daylight	n.日光
dazzle	v.使目眩
deafen	v.使聽不見
dean	n.學院院長；主任牧師
dearly	adv.深切地
debut	n.初次登臺
decease	n.死亡
decency	n.莊重
decent	adj.得體的
deception	n.欺騙
deceptive	adj.虛偽的
decisive	adj.果斷的
decree	n./v.法令
dedicate	v.奉獻
deduction	n.推斷
deem	v.視為
deepen	v.加深
defect	n.缺點
deficiency	n.短缺
deficit	n.赤字
defy	v.違抗
delegate	v.派…為代表
delegation	n.委任
deliberately	adv.故意地
deliberation	n.深思
delicacy	n.精緻
delinquent	adj.不法行為
demo	n.(= demonstration)遊行示威
democrat	n.民主主義者
demon	n.惡鬼
denial	n.否認
denomination	n.教派
denounce	v.指責
depict	v.描繪
deplete	v.使枯竭
deploy	v./n.布署
deport	v.驅逐出境
depreciate	v.跌價
deprive	v.剝奪
descendant	n.後代
descent	n.下降
designate	v.指定；任命
despairing	adj.自暴自棄的
despise	v.藐視
detach	v.分開
detain	v.拘留；耽擱
deter	v.制止
deteriorate	v.惡化
devalue	v.貶值
devastating	adj.毀滅性的
deviation	n.偏離
diabetes	n.糖尿病
diagnose	v.診斷
diagnosis	n.診斷(法)
diagram	n.圖表(解)
dialect	n.方言
diaper	n.菱形花紋(布)；尿布
dictate	v.使聽寫；命令
dictation	n. 聽寫；命令
dictator	n.獨裁者
diehard	n.頑固分子
differential	n.差別
differentiate	v.區分
diffusion	n.擴散
digital	adj./n.數字式的
dignify	v.使有尊嚴
dignitary	n.權貴
dilute	v./adj.稀釋(的)
diplomacy	n.外交
directory	n.工商人名錄
disapproval	n.反對
disapprove	v.不贊成
disbelieve	v.懷疑
disciple	n.門徒
disciplinary	adj.紀律上的
disclose	v.露出
disclosure	n.揭露
discomfort	n.不舒適
discontent	n.不滿
discouraging	adj.令人洩氣的
discreet	adj.考慮周到的
discrepancy	n.不一致
discretion	n.謹慎
discriminate	v.辨別
disgust	n./v.嫌惡；使厭惡
disgusting	adj.令人厭惡的
dishwasher	n.洗碗機
disinterested	adj.公正的
dismantle	v.拆卸
dismay	v.使驚慌
dispel	v.驅散
dispensable	adj.可有可無的
displace	v.移開；取代
displacement	n.移位；取代
disposition	n.配置
disregard	v.漠視
disrupt	v.擾亂
dissatisfaction	n.不滿
dissatisfy	v.使不快
dissident	adj./n.持異議的(人)
dissuade	v.勸阻
distinctively	adv.有特色地
distract	v.使分心
distrust	v.不信任
diverse	adj.各種各樣的
diversify	v.使多樣化
diversion	n. 轉換
diversity	n.多樣性
dividend	n.股息
divorcee	n.離了婚的女人
documentary	n.記錄片
dogmatic	adj.固執己見的
dole	n./v.救濟金；分發
domain	n.領域
donkey	n.驢
donor	n.捐贈者
doom	n./v.厄運；注定
dosage	n.劑量
doubtless	adv.無疑地
dough	n.生麵團
downwards	adv.向下的
doze	v.打瞌睡
dragonfly	n.蜻蜓
drainage	n.排水系統
drape	v.覆蓋
draught	n./v.(=draft)草圖；草擬
drawback	n.障礙；缺點
driveway	n.私用車道
dropout	n.輟學者
drought	n.乾旱
drugstore	n.雜貨店
drunkard	n.酒鬼
dual	adj./n.由兩部分構成的
dubious	adj.覺得可疑的
duke	n.公爵
dump	v.傾倒
dutiful	adj.守本分的
dwarf	n./adj.侏儒；矮小的
dweller	n.居民
dynamite	n.甘油炸藥
eagerly	adv.渴望地
earplug	n.耳塞
earthworm	n.蚯蚓
Easter	n.復活節
eastwards	adv.向束
eccentric	adj./n.古怪的(人)
eclipse	n.(日、月)蝕
ecology	n.生態學
economically	adv.節約的
editorial	n.社論
educator	n.教育工作者
eel	n.鰻
effectively	adv.有效地
ego	n.自我
elective	adj.由選舉產生的
elemental	adj.自然力的
elevate	v.使提高
eligible	adj./n.有資格的
elite	n.精英
eloquent	adj.雄辯的
embargo	v./n.禁止通商
embark	v.裝船；從事
embody	v.包括
embryo	n./adj.胚胎；未成熟的
emigrant	n.移民
emission	n.散發
empirical	adj.憑經驗的
enchant	v.使入迷
encyclopedia	n.百科全書
endorse	v.贊同
endowment	n.天資
endurance	n.耐力
enhance	v.增加
enlighten	v.敵發
enlist	v.入伍
enrich	v.使富裕
enroll	v.使加入；註冊
ensue	v.接著發生
ensure	v.確保
entail	v.使成為必要
envisage	v.預見
enzyme	n.酵素
epic	n./adj.史詩(般的)
epigram	n.雋語
erode	v.侵蝕
erosion	n.侵蝕
err	v.犯錯
escort	v./n.護衛(者)
essentially	adv.基本上
esteem	n./v.尊敬
etemity	n.永恆
ethic	n.倫理
ethics	n.倫理(學)
ethnic	adj.種族的
etiquette	n.禮節
evaporate	v.蒸發
eventual	adj.結果的
evergreen	n./adj.常青樹(的)
evoke	v.喚起
evolution	n.演化(論)
evolve	v.使逐漸發展
exceedingly	adv.極其
excel	v.擅長
exclaim	v.驚叫
exclusively	adv.專門地
executive	adj.執行的
exempt	v./adj./n.豁免(的)；被免除義務者
exile	n./v.放逐
exotic	adj./n.異國風情的
expedition	n.探險(隊)
expel	v.趕走
expend	v.花費
experimentation	n.實驗
expertise	n.專業知識
expire	v.期滿
exploration	n.研究
exterior	adj.外部的
extinct	adj.絕種的
extract	v.拔出；摘錄
extracurricular	adj.課外的
extravagance	n.浪費
eyesight	n.視力
eyewitness	n.目擊者
hostile	adj.敵人的
hostility	n.敵意
howl	v.號叫
humbly	adv.謙虛地
humiliate	v.屈辱
humiliation	n.蒙羞
humorously	adv.幽默地
hurl	v.用力投擲
hurrah	interj.歡呼聲
hygiene	n.衛生
hymn	n.聖歌
hyphen	n.連字號
hypocrisy	n.虛偽
hypocrite	n.偽君子
hypothesis	n.假設
hysterical	adj.患歇斯底里症的
gaiety	n.愉快
galaxy	n.銀河系
garlic	n.大蒜
gasp	v.喘息
gauge	n.標準度量
gear	n.汽車之排檔
Gemini	n.雙子座
gender	n.性別
generalize	v.歸納
generator	n.發電機
generously	adv.慷慨地
genetics	n.遺傳學
geographical	adj.地理學的
geometry	n.幾何學
germ	n.起源；細菌
ghetto	n.城市中猶太人的保留區
gin	n.杜松子酒
glamour	n.魅力
glare	v.發強烈的光
glassware	n.玻璃器皿
gleam	n.一絲光線
glitter	v.閃爍
gloomy	adj.黑暗的
goalkeeper	n.守門員
goldfish	n.金魚
goodbye	interj./n.再見
goodness	n.善良
goods	n.貨物
gorgeous	adj.華麗的
gospel	n.主義
grapefruit	n.葡萄柚
grate	n./v.壁爐；磨碎
grill	v.烤
grim	adj.嚴厲的
groan	n./v.呻吟
groom	n.馬夫
grove	n.樹叢
grumble	v.發怨言
guideline	n.指導方針
gypsy	n.吉普賽
hail	v.歡迎
hairdo	n.髮型
hairstyle	n.髮型
halftvay	adj./adv.位於兩地中途的
halt	v.猶豫
handful	n.一把
happening	n.事件
happily	adv.快樂的
harassment	n.煩惱
hardy	adj.強壯的
hare	n.野兔
harness	n.馬具
harshly	adv.刺耳地；嚴厲地
hasten	v.急忙
haul	v.拖
hay	n.乾草
headache	n.頭痛
heading	n.標題
head-on	adj./adv.正的
heap	n.堆
hearsay	n.謠言
heavier	adj.重的
heavyweight	n./adj.重量級拳手；重的
hedge	n.樹籬
heighten	v.增高
heir	n.繼承人
heiress	n.女繼承人
helicopter	n.直昇機
helmet	n.頭盔；安全帽
herald	n./v. 使者；預示
herd	n.獸群
heroin	n.海洛英
heroine	n.女英雄
hesitantly	adv.遲疑地
heterosexual	adj.異性戀的
hierarchy	n.階級組織
hijack	v.劫取
hike	n.健行
hinder	v.妨礙
hockey	n.曲棍球
Hollywood	n.好萊塢
homely	adj.家常的
hometown	n.永久居留地
homosexual	adj./n.同性戀
hormone	n.荷爾蒙
horrifying	adj.駭人的
hose	n.長統襪及短襪
hospitable	adj.好客的
hostage	n.人質
hostile	adj.敵人的
hostility	n.敵意
howl	v.號叫
humbly	adv.謙虛地
humiliate	v.屈辱
humiliation	n.蒙羞
humorously	adv.幽默地
hurl	v.用力投擲
hurrah	interj.歡呼聲
hygiene	n.衛生
hymn	n.聖歌
hyphen	n.連字號
hypocrisy	n.虛偽
hypocrite	n.偽君子
hypothesis	n.假設
hysterical	adj.患歇斯底里症的
ideological	adj.意識形態的
ideology	n.意識形態
idle	adj.不做事的
idol	n.偶像
illegal	adj.違法的
illogical	adj.不合理的
illuminate	v.照亮
immense	adj.極大的
imminent	adj.逼近的
immoral	adj.不朽的
immune	adj.免除的
impair	v.損害
impartial	adj.公平的
impatient	adj.不耐煩的
imperial	adj.帝國的
impersonal	adj.不受個人感情影響的
implement	v.實現
implicit	adj.暗示的
impolite	adj.不禮貌的
imposing	adj.氣勢雄偉的
impractical	adj.不切實際的
imprison	v.監禁
inability	n.無能力
inappropriate	adj.不適當的
incentive	n./adj.刺激
incidentally	adv.附帶的
inclination	n.傾斜
incomplete	adj.不完全的
inconvenient	adj.使人不便的
incredible	adj.驚奇的
incur	v.招致
indebted	adj. 負債的
indecision	n.無決斷力
independently	adv.獨立的
indicator	n.指示者
indifference	n.不關心
indifferent	adj.對…不感興趣
indigestion	n.消化困難
indignant	adj.憤慨的
indignation	n.憤慨
indirect	adj.非直接的
indistinct	adj.模糊的
indulge	v.使滿足
industrious	adj.勤勉的
ineffective	adj.無效力的
inefficient	adj.無效率的
inevitable	adj.無可避免的
inexpensive	adj.不貴的
infantry	n.步兵
infer	v.推斷
inference	n.推論
infinite	adj.無窮的
inflict	v.予以(打擊等)
influenza	n.流行性感冒
ingenuity	n.靈巧
initially	adv.在起初
initiate	v.開始；使入會
inject	v.注射
injustice	n.不公正
inquisitive	adj.好管閒事的
insane	adj.瘋狂的
insecure	adj.不安全的
inspiring	adj.令人鼓舞的
instability	n.不穩定
installation	n.安置
instantly	adv.立即
institutional	adj.制度(上)的
insulting	adj.侮辱人的
insurance	n.保險
intact	adj.未觸動的
integral	adj.構成整體所需要的
integrity	n.廉正
intellect	n.理解力
intelligible	adj.易了解的
intent	n.目的
intercept	v.中途阻止
interchangeable	adj.可交換的
intercourse	n.交際
interpreter	n.口譯者
intimidate	v.脅迫
intonation	n.語調
intricate	adj.複雜的
intrigue	v./n.密謀；陰謀
intriguing	adj. 有趣的；有魅力的
intuition	n.直覺
inventor	n.發明者
investigator	n.調查者
investor	n.投資者
invisible	adj.看不見的
inviting	adj.吸引人的
invoke	v.祈求幫助或保護
inward	adj.在內的
ironic	adj.諷剌的
irony	n.反語
irregular	adj.不合常規的
irrelevant	adj.不切題的
irresponsible	adj.不須負責任的
irritable	adj.急躁的
irritate	v.激怒
isolated	adj.孤立的
Italian	n.義大利文
itch	v.發癢
Japanese	n.日本人
jar	n.刺耳的聲音
jasmine	n.茉莉
jaywalk	v.不遵守交通規則而穿越馬路
jerk	v.猛然一推
jog	v.輕撞
journalism	n.新聞業
journalist	n.新聞記者
joyous	adj.快樂的
judicial	adj.法庭的
junction	n.連接
justification	n.理由
justly	adv.合理的
juvenile	adj.少年的
kangaroo	n.袋鼠
keenly	adv.激烈地
kidnap	v.綁架
kidney	n.腎
killer	n.殺人者
kindly	adj.友善的
kindness	n.親切
king-size	adj.特大號的
kit	n.所有的裝備
know-how	n.技能
knowledgeable	adj.博識的
lab	n.實驗室
lad	n.少年
lama	n.喇嘛
lament	v.悲傷
landing	n.登陸
landlady	n.女房束
landlord	n.地主
landmine	n.地雷
landslide	n.山崩
laser	n.雷射
latitude	n.緯度
lawmaker	n.立法者
lawnmower	n.除草機
lawsuit	n.訴訟
layman	n.門外漢
leak	v.漏
leakage	n.洩漏
lease	n.租約
legacy	n.遺產
legally	adv.法律上
lengthy	adj.冗長的
lesbian	n.女同性戀者
lesser	adj./adv.較小的
liability	n.有義務
liberate	v.解放
liberation	n.解放
lieutenant	n.陸軍中尉
lifelong	adj.終生的
lightweight	n./adj.平均重量以下；不重要的人
likelihood	n.可能性
likewise	adv.同樣的
liking	n.愛好
limp	v.跛行
linger	v.逗留
lingering	adj.持久的
linguist	n.精通數種外國語言者
linguistics	n.語言學
liquidation	n.清償
literacy	n.識字；讀寫能力
literate	adj.文雅的
litter	n.雜物；垃圾
livelihood	n.生計
lively	adj.有生氣的
livestock	n.家畜
lizard	n.蜥蜴
locomotive	adj.移動的
loft	n.閣樓
logo	n.(=logotype)標識；商標
lonesome	adj.寂寞的
longevity	n.長壽
loom	v.隱約的或威脅性的出現
loop	n.環形花狀
loosely	adv.不嚴格地；寬鬆地
lorry	n.載貨卡車
lottery	n.獎券；彩票
lotus	n.蓮；忘憂樹
lounge	n./v.休息室；懶洋洋地坐或站
lovable	adj.可愛的
lubricant	n.潤滑劑
lucrative	adj.可獲利的；賺錢的
luminous	adj.明亮的；清楚的
luncheon	n.午餐；午宴
lyric	n.抒情詩
machinegun	n.機關槍
magnify	v.擴大；誇大；誇獎
maiden	n.少女
mainstream	n.主流
majestic	adj.莊嚴的
majesty	n.威嚴；王權
malaria	n.瘧疾
malicious	adj.存心不良的
manageable	adj.能處理的
manhood	n.成年；男子氣質
manifestation	n.顯示；發表
manifesto	n.宣言；聲明
manipulate	v.操縱
manpower	n.人力
mansion	n.大廈；官邸
manuscript	n.草稿；手稿
marathon	n.馬拉松賽跑
mare	n.母馬；母驢
marginal	adj.空白處的；邊際的
Mars	n.戰神；火星
marshal	n.元帥
martial	adj.軍事的
marvel	n.令人驚奇或驚喜的事物
masculine	adj.男性的；陽性的
massacre	n.大屠殺
massage	n.按摩
masterpiece	n.傑作；名著
mastery	n.控制；熟練
measles	n.麻疹
mechanics	n.力學；機械學
medication	n.藥物治療
medieval	adj.中古的；中世紀的
meditation	n.沉思；冥想
meek	adj.溫順的
melancholy	n./adj.悲哀；憂鬱
mellow	adj.香醇的；柔和的；老練的
memo	n.備忘錄
memorable	adj.值得紀念的
menace	n.危險；威脅
mentality	n.智力；心性
mentally	adv.智力不足的；心理有缺陷的
mentor	n.導師
metaphor	n. 隱喻
metaphysical	adj.玄學的；形而上學的
mighty	adj.強大的；偉大的
migration	n.遷移
mild	adj.溫和的；順口的
mileage	n.哩數
militant	adj.好戰的
milligram	n.毫克
mingle	v.混合
minimal	adj.最低程度的
miraculously	adv.神奇地
misbehave	v.做不正當的事
miscellaneous	adj.各式各樣的
misconduct	n.不規矩的行為；不當的處理
mishap	n.災難
missionary	n.傳教士
mistress	n.女主人
moan	v./n.呻吟(聲)
mob	n.烏合之眾；無秩序的民眾
mock	v.愚弄；嘲弄
modernization	n.現代化
modernize	v.使現代化
molecule	n.分子
momentary	adj.短暫的
momentum	n.動量；動向
monetary	adj.貨幣的
